,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,gleammodel_infectious_mean_merged
2020-03-29,13228.486860138712,,,,,,,,,,,,,,13228.486860138712
2020-03-30,13436.44597112236,,,,,,,,,,,,,,13436.44597112236
2020-03-31,13594.11955257526,,,,,,,,,,,,,,13594.11955257526
2020-04-01,13879.386966959655,,,,,,,,,,,,,,13879.386966959655
2020-04-02,13951.594166427269,,,,,,,,,,,,,,13951.594166427269
2020-04-03,14216.299131593976,,,,,,,,,,,,,,14216.299131593976
2020-04-04,14404.62153909691,,,,,,,,,,,,,,14404.62153909691
2020-04-05,14702.958183384762,5066.623813099052,,,,,,,,,,,,,14702.958183384762
2020-04-06,14843.284035032815,5224.34309382916,,,,,,,,,,,,,15160.647578696293
2020-04-07,15154.506297903967,5389.7801216119515,,,,,,,,,,,,,15640.73329083959
2020-04-08,15322.847459236098,5563.431726186723,,,,,,,,,,,,,16144.657082051323
2020-04-09,15512.756444921342,5745.045022305672,,,,,,,,,,,,,16671.685098514678
2020-04-10,15825.864684602724,5934.452567265366,,,,,,,,,,,,,17221.331434198826
2020-04-11,16054.057339916635,6132.287169336595,,,,,,,,,,,,,17795.432450729728
2020-04-12,16176.637771126796,6337.707112329804,8472.430895288971,,,,,,,,,,,,18391.545551539366
2020-04-13,16381.215130920698,6551.089749797537,8712.725695101557,,,,,,,,,,,,18913.165947287718
2020-04-14,16666.908657157743,6772.002472308507,8961.67816093078,,,,,,,,,,,,19453.579988081146
2020-04-15,16793.27696964444,7000.526222767506,9220.877728579715,,,,,,,,,,,,20016.23794472561
2020-04-16,17015.141553343885,7236.603763703542,9488.944093152428,,,,,,,,,,,,20598.143517731343
2020-04-17,17283.918200236258,7479.574933038291,9765.881718841372,,,,,,,,,,,,21199.306397752644
2020-04-18,17369.586045849977,7729.3349150211025,10051.035502159537,,,,,,,,,,,,21818.304517643588
2020-04-19,17547.79056166928,7985.093522779563,10343.513028509837,4830.765533390004,,,,,,,,,,,22453.200666712695
2020-04-20,17648.048786036597,8247.408783538649,10643.557501282281,4908.113051246663,,,,,,,,,,,22812.70876693071
2020-04-21,17792.607168384577,8514.827234523382,10949.729607118688,4988.867856418465,,,,,,,,,,,23188.05379926378
2020-04-22,17951.755693959403,8787.387284031598,11261.015108614907,5074.455062136436,,,,,,,,,,,23585.859631736108
2020-04-23,18103.63317631365,9064.666498736873,11577.161580489035,5163.706524812727,,,,,,,,,,,24000.696780717353
2020-04-24,18125.69333935203,9345.842604931817,11897.198595985226,5256.416557649103,,,,,,,,,,,24431.609222379964
2020-04-25,18250.47950624208,9630.07370850323,12219.688041823672,5353.230023298093,,,,,,,,,,,24881.594251964132
2020-04-26,,9917.010627053665,12543.299873944461,5453.750074540698,1580.1721906596833,,,,,,,,,,25348.80733982323
2020-04-27,,10205.963654469964,12867.374490560087,5557.220656321061,1534.4583798262195,,,,,,,,,,24615.475497612522
2020-04-28,,10496.242429591557,13190.009071976196,5663.886203196454,1490.8611798964826,,,,,,,,,,23916.097905659528
2020-04-29,,10786.729801149766,13509.846068550625,5773.201738382995,1448.4745932692215,,,,,,,,,,23236.14073101857
2020-04-30,,11077.560111703868,13826.978835540289,5885.820756856319,1408.2857635764651,,,,,,,,,,22591.439535087924
2020-05-01,,11366.958087356177,14138.025885482188,6000.19616775741,1369.409798957593,,,,,,,,,,21967.799059006535
2020-05-02,,11655.176049397556,14443.165280521058,6116.520724812592,1331.539881696716,,,,,,,,,,21360.297394127687
2020-05-03,,,14739.30593544704,6234.755993936147,1295.6384581857346,4835.101051389264,,,,,,,,,20784.37391364589
2020-05-04,,,15026.653739005384,6353.785435087081,1260.372521085086,4989.690290499273,,,,,,,,,21448.8978841977
2020-05-05,,,15303.328561730637,6474.549611232815,1228.044085707232,5150.75676012286,,,,,,,,,22141.26515719309
2020-05-06,,,15567.05417689239,6595.406886127899,1195.8163283094675,5317.910684922662,,,,,,,,,22859.80022755616
2020-05-07,,,15818.436174795575,6716.274072281202,1164.1805627027088,5491.030111472134,,,,,,,,,23603.978861027805
2020-05-08,,,16055.598228329016,6836.810681199117,1134.700953729769,5669.723431057331,,,,,,,,,24372.117671500488
2020-05-09,,,16277.027966196903,6957.011357209947,1105.4783551103642,5854.1031404450805,,,,,,,,,25164.70024242798
2020-05-10,,,,7076.268724762721,1078.7226238445571,6044.034286437816,2171.9673777955,,,,,,,,25981.146458174815
2020-05-11,,,,7193.163371858541,1051.5705624750665,6239.268617250031,2185.896704581283,,,,,,,,26147.76953133189
2020-05-12,,,,7308.1735294080445,1026.0440724722432,6439.392061838768,2200.896662052612,,,,,,,,26327.199524578176
2020-05-13,,,,7420.797969372875,1000.655778161651,6643.179116939106,2216.5092122159162,,,,,,,,26513.957372106306
2020-05-14,,,,7530.516979201569,977.1681997594832,6851.745210057853,2233.868257161644,,,,,,,,26721.606848668318
2020-05-15,,,,7637.032369452138,953.9539048249943,7063.7106597707825,2252.0929295643728,,,,,,,,26939.61098983923
2020-05-16,,,,7739.235329607707,931.7856062196463,7278.608469526645,2271.298224175487,,,,,,,,27169.34536668342
2020-05-17,,,,,910.5413524403486,7496.0408248124295,2291.5949892022672,793.6795418873057,,,,,,,27412.135949165913
2020-05-18,,,,,889.8539938599127,7715.144968425654,2312.628320766757,770.3500854450575,,,,,,,26606.382243968535
2020-05-19,,,,,869.8463466821856,7935.24662830298,2334.6812830152912,748.8313538354903,,,,,,,25863.167425891712
2020-05-20,,,,,850.6141508484034,8155.662608294018,2357.5717363834656,726.9976888435881,,,,,,,25109.075425985346
2020-05-21,,,,,831.8990351565418,8376.017060208102,2381.163678456953,704.6834397910006,,,,,,,24338.384994456082
