,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,gleammodel_infectious_mean_merged
2020-03-29,4167.278760592477,,,,,,,,,,,,,,4167.278760592477
2020-03-30,4315.378340834769,,,,,,,,,,,,,,4315.378340834769
2020-03-31,4517.4385335599245,,,,,,,,,,,,,,4517.4385335599245
2020-04-01,4751.980711536515,,,,,,,,,,,,,,4751.980711536515
2020-04-02,5009.961521638891,,,,,,,,,,,,,,5009.961521638891
2020-04-03,5241.8128392640865,,,,,,,,,,,,,,5241.8128392640865
2020-04-04,5523.22637444172,,,,,,,,,,,,,,5523.22637444172
2020-04-05,5806.728146498044,3339.777273002799,,,,,,,,,,,,,5806.728146498044
2020-04-06,6101.986355068264,3442.220118638089,,,,,,,,,,,,,5984.84114821416
2020-04-07,6421.893579686417,3559.725840950162,,,,,,,,,,,,,6189.14333047035
2020-04-08,6788.781816509443,3668.3761525766213,,,,,,,,,,,,,6378.048988265877
2020-04-09,7102.713577223855,3788.5279905645643,,,,,,,,,,,,,6586.951858866816
2020-04-10,7506.263996854965,3890.9465638018705,,,,,,,,,,,,,6765.022659200913
2020-04-11,7877.854725275,3997.872841526856,,,,,,,,,,,,,6950.930812862817
2020-04-12,8303.332591861381,4114.9668475040135,6815.186821617571,,,,,,,,,,,,7154.517161506492
2020-04-13,8726.248683798724,4264.11528320698,7078.761141179164,,,,,,,,,,,,7431.214931060554
2020-04-14,9177.491395143277,4377.351537189231,7399.534229285294,,,,,,,,,,,,7767.959414208857
2020-04-15,9637.224233172556,4533.072406257697,7720.725988610115,,,,,,,,,,,,8105.1434143502465
2020-04-16,10104.342434519642,4655.8179127699295,8073.521159532029,,,,,,,,,,,,8475.504370098539
2020-04-17,10627.127818659756,4813.515880944718,8411.472714253752,,,,,,,,,,,,8830.282641230437
2020-04-18,11208.37289090441,4956.344559716162,8750.195303799253,,,,,,,,,,,,9185.870337257531
2020-04-19,11665.457301034912,5103.889591487058,9110.301010195466,1656.8567024935098,,,,,,,,,,,9563.90582238846
2020-04-20,12237.761415071824,5254.223816212846,9460.56425503324,1636.947471438804,,,,,,,,,,,9448.98338490982
2020-04-21,12791.814200537181,5419.088091454778,9840.28293368323,1618.3546099935068,,,,,,,,,,,9341.659453055045
2020-04-22,13348.48855679186,5561.310967531274,10198.047201472331,1601.4510487037921,,,,,,,,,,,9244.086700991149
2020-04-23,13959.210572076294,5762.715573530913,10653.320400238195,1584.2703444486492,,,,,,,,,,,9144.914191255571
2020-04-24,14568.858375629372,5911.926960569093,10976.915157841924,1569.1177131727625,,,,,,,,,,,9057.448366199087
2020-04-25,15191.92563729142,6105.120703224099,11396.935585705713,1554.2798963132927,,,,,,,,,,,8971.799750455644
2020-04-26,,6260.006504333639,11810.221316548621,1540.892163001841,677.3766098293603,,,,,,,,,,8894.521479876612
2020-04-27,,6469.613245537581,12244.269832809585,1527.9334488527334,650.7558859837836,,,,,,,,,,8544.969108834464
2020-04-28,,6607.392342730894,12613.454900912231,1516.1925999023706,626.5356436963214,,,,,,,,,,8226.937068537238
2020-04-29,,6827.0752235372875,13061.342150962682,1505.2830579114511,601.4736608252102,,,,,,,,,,7897.852270301361
2020-04-30,,6975.826523786945,13475.498019733905,1494.947738225493,579.4414787146865,,,,,,,,,,7608.551290333994
2020-05-01,,7184.415838288142,13902.70162553427,1483.9846742346124,555.848697659235,,,,,,,,,,7298.758340854084
2020-05-02,,7347.1827659721475,14323.850004853559,1475.3492164076008,535.7428600609696,,,,,,,,,,7034.751875626813
